"regime1","oilL5","metalL5","GDPpcL5","islam","oecd","cty_name","id","id1","year"
10,0.0046796,0.00939098,18700,0,1,"Japan","JPN",99,1995
2.5,0.13105967,0.02904687,1090,0.064,0,"Kenya","KEN",101,1995
9.5,0.01011031,0.00838817,7820,0,0,"Korea, Rep.","KOR",106,1995
1.5,0.92621025,0.00155721,7600,0.946,0,"Kuwait","KWT",107,1995
7.5,0.00698623,0.01577562,1650,0.07,0,"Sri Lanka","LKA",114,1995
3,0.03586565,0.15124881,2830,0.986,0,"Morocco","MAR",120,1995
9.5,0.00522907,0.0766288,940,0.016,0,"Madagascar","MDG",123,1995
7,0.37584072,0.05696481,6740,0,0,"Mexico","MEX",125,1995
10,0.01373553,0.00213158,6190,0.16,0,"Mauritius","MUS",136,1995
5,2.635e-05,0.00030357,560,0.16,0,"Malawi","MWI",137,1995
7,0.18301912,0.02077233,4760,0.495,0,"Malaysia","MYS",138,1995
9,0.00288643,0.00761565,1500,0,0,"Nicaragua","NIC",144,1995
10,0.09599222,0.02751973,16070,0.005,1,"Netherlands","NLD",145,1995
10,0.47777157,0.10122583,16780,0.001,1,"Norway","NOR",146,1995
10,0.03941152,0.05666127,13800,0,1,"New Zealand","NZL",148,1995
0.5,0.9188148,0.00952947,8530,0.99,0,"Oman","OMN",149,1995
9,0.01273951,0.00302623,1220,0.968,0,"Pakistan","PAK",150,1995
9.5,0.00143959,0.01342923,5050,0.045,0,"Panama","PAN",151,1995
6,0.10029385,0.4706232,2880,0,0,"Peru","PER",152,1995
9.5,0.02233548,0.08179575,2880,0.043,0,"Philippines","PHL",153,1995
9.5,0.10683852,0.09291045,4680,0,0,"Poland","POL",156,1995
10,0.03102903,0.02906666,10560,0,1,"Portugal","PRT",159,1995
0,0.8408104,0.00152593,17530,0.953,0,"Qatar","QAT",162,1995
7.5,0.17827856,0.04127896,4150,0.012,0,"Romania","ROM",164,1995
0,0.9167644,0.00491008,9600,0.993,0,"Saudi Arabia","SAU",167,1995
5.5,0.12327901,0.09323737,1500,0.9,0,"Senegal","SEN",169,1995
4,0.17872274,0.0155296,16180,0.18,0,"Singapore","SGP",170,1995
10,0.01509743,0.02706336,2020,0,0,"El Salvador","SLV",173,1995
10,0.02972274,0.034468,16860,0,1,"Sweden","SWE",179,1995
0.5,0.4517032,0.00964609,2220,0.89,0,"Syrian Arab Republic","SYR",182,1995
4,0.00026091,0.4466079,1400,0.132,0,"Togo","TGO",184,1995
9.5,0.00834188,0.01039176,3970,0.039,0,"Thailand","THA",185,1995
9.5,0.67090225,0.00520173,5430,0.063,0,"Trinidad and Tobago","TTO",189,1995
3.5,0.17276642,0.01648545,3800,0.99,0,"Tunisia","TUN",190,1995
9.5,0.02267059,0.04349465,4620,0.99,0,"Turkey","TUR",191,1995
10,0.00027818,0.00418814,6290,0,0,"Uruguay","URY",195,1995
10,0.03223136,0.03053162,22540,0.005,1,"United States","USA",196,1995
9,0.80092926,0.07182356,7300,0,0,"Venezuela","VEN",199,1995
9.5,0.071,0.1107,6690,0.013,0,"South Africa","ZAF",207,1995
2,0.0074,0.1594,2090,0.009,0,"Zimbabwe","ZWE",210,1995
