country,oecd,gdpcap85,school,pop,fert,lifeexp,popgrowth,civlib5,wartime,gvtcons
Tanzania,0,452,2.286,22748,7,52.1,0.0341,6,0.08,0.1301
Togo,0,609,2.132,3028,6.5,52,0.0328,6,0,0.1481
Tunisia,0,2704,2.478,7261,4.41,64.4,0.0257,5,0,0.1583
Uganda,0,465,1.917,15647,6.9,47.3,0.03,5,0.28,0.0393
Zaire,0,422,2.243,30398,6.09,51.5,0.0304,6.6,0.04,0.1223
Zambia,0,774,4.349,7006,6.75,52.1,0.0343,5.8,0,0.2615
Zimbabwe,0,1178,2.627,8292,6.16,57.3,0.0364,4.8,0.24,0.1899
Bahamas,0,12343,NA,NA,NA,NA,0.0191,2,NA,0.1325
Barbados,0,6230,7.48,253,NA,NA,0.0032,1.2,0,0.1681
Canada,1,15695,10.369,25379,1.66,76.2,0.0108,1,0,0.2008
Costa_Rica,0,3258,5.333,2642,3.36,73.4,0.0231,1,0,0.1562
Dominica,0,2440,NA,NA,NA,NA,NA,2,NA,NA
Domincan_Republic,0,2076,4.177,6416,3.93,65.2,0.0238,2.6,0.04,0.0912
El_Salvador,0,1727,3.574,4768,5,60.2,0.0105,4.8,0.36,0.1549
Grenada,0,1847,NA,NA,NA,NA,NA,4.8,NA,NA
Guatemala,0,2056,2.591,7963,5.91,60.8,0.0282,6,0.08,0.0777
Maiti,0,860,1.621,5889,4.87,53.9,0.018,6,0.2,0.1081
Honduras,0,1303,3.561,4383,5.79,63.2,0.0359,3,0.08,0.1402
Jamaica,0,2128,4.162,2311,3.06,73.5,0.0145,3,0.04,0.1993
Mexico,0,5289,4.418,79376,3.83,68.1,0.0218,4,0,0.0984
Nicaragua,0,1611,3.776,3272,5.68,61.9,0.0332,5,0.24,0.2641
Panama,0,3371,6.3,2180,3.27,71.6,0.0217,4,0,0.212
St_Lucia,0,2213,NA,NA,NA,NA,0.0199,2.2,NA,NA
St_Vincent_Grenadines,0,2295,NA,NA,NA,NA,0.016,2,NA,NA
Trinidad_Tobago,0,9642,6.503,1178,2.96,69.4,0.0158,2,0,0.1551
United_States,1,16559,11.787,239283,1.84,74.9,0.0099,1,0.32,0.1995
Argentina,0,3887,6.676,30331,3.04,70.2,0.0143,4,0.36,0.1239
Bolivia,0,1688,4.285,6371,6.14,52.2,0.0269,3.8,0,0.1574
Brazil,0,3951,3.486,135564,3.6,64.3,0.0223,3,0,0.0927
Chile,0,3238,6.45,12122,2.76,71.3,0.0168,5,0.04,0.1387
